Question ID,Grouping,Question
Q0,respect for opposing viewpoints,Does the text acknowledge opposing viewpoints?
Q1,respect for opposing viewpoints,Are opposing viewpoints presented in a respectful manner?
Q2,respect for opposing viewpoints,Does the text contain any derogatory language or insults directed towards opposing viewpoints?
Q3,respect for opposing viewpoints,Does the author provide thoughtful responses or counterarguments to opposing viewpoints?
Q4,respect for opposing viewpoints,Is there evidence of the author considering the merits of opposing viewpoints?
Q5,respect for opposing viewpoints,Does the author dismiss opposing viewpoints without thoughtful consideration?
Q6,respect for opposing viewpoints,Does the text contain any form of mockery towards opposing viewpoints?
Q7,respect for opposing viewpoints,Does the text contain any form of bias that disrespects opposing viewpoints?
Q8,respect for opposing viewpoints,Does the author provide balanced arguments for and against opposing viewpoints?
Q9,respect for opposing viewpoints,Does the text contain any form of personal attacks against those holding opposing viewpoints?
Q10,relevance,Is the main thesis of the text clearly stated?
Q11,relevance,Do all the points mentioned in the text support the main thesis?
Q12,relevance,Are there any unrelated or off-topic points in the text?
Q13,relevance,Is the evidence provided in the text relevant to the thesis?
Q14,relevance,Are the examples and explanations given in the text directly connected to the thesis?
Q15,relevance,Are there any contradictions or inconsistencies in the text that might detract from the overall relevance?
Q16,objectivity,Is the text free from personal opinions or emotions?
Q17,objectivity,Does the text rely on facts and evidence?
Q18,objectivity,Are both sides of an argument presented fairly?
Q19,objectivity,Are any biases or assumptions evident in the text?
Q20,objectivity,Does the author avoid using loaded language or emotionally-charged words?
Q21,objectivity,Are sources cited to support the information provided?
Q22,objectivity,Is the text focused on the topic without digressing into unrelated personal experiences or anecdotes?
Q23,name_calling-labeling,Does the text use derogatory labels or names?
Q24,name_calling-labeling,Are there instances in the text where individuals or groups are demeaned or belittled?
Q25,name_calling-labeling,Does the text use labels or names to influence the reader's opinion negatively?
Q26,name_calling-labeling,Are there instances of name-calling or labeling that seem to aim at swaying sentiments?
Q27,name_calling-labeling,Does the text use name-calling or labeling as a strategy to discredit or devalue someone or something?
Q28,name_calling-labeling,Are there instances in the text where labels are used to create a negative perception?
Q29,name_calling-labeling,Are any labels or names used in a way that could be considered disrespectful or offensive?
Q30,name_calling-labeling,Does the text use name-calling or labeling to form negative associations?
Q31,name_calling-labeling,Are there instances in the text where name-calling or labeling is used to evoke negative emotions?
Q32,name_calling-labeling,Does the text use name-calling or labeling to manipulate the reader's opinion?
Q33,obfuscation-vagueness-confusion,Does the text provide clear and specific details?
Q34,obfuscation-vagueness-confusion,Are there phrases or sentences in the text that can be interpreted in more than one way?
Q35,obfuscation-vagueness-confusion,Can you identify parts of the text where ambiguity or vagueness have been intentionally used?
Q36,obfuscation-vagueness-confusion,Are there any instances in the text where the meaning is not straightforward?
Q37,obfuscation-vagueness-confusion,Does the text contain any contradictory statements or ideas?
Q38,obfuscation-vagueness-confusion,Are there sections in the text that are difficult to understand due to lack of clarity or precision?
Q39,obfuscation-vagueness-confusion,Is the text consistently clear and concise throughout?
Q40,obfuscation-vagueness-confusion,Does the text contain any abstract or vague terms that could be interpreted differently by different readers?
Q41,obfuscation-vagueness-confusion,Can you find any instances of unnecessary complexity in the text?
Q42,flag_waving,Is the text using patriotic language or symbols?
