Persuasion Technique Type,Gold Count,GPT-4 Count,0_P,0_R,0_F1,0_Support,1_P,1_R,1_F1,1_Support,Weighted_P,Weighted_R,Weighted_F1,Weighted_Support,Macro_P,Macro_R,Macro_F1,Macro_Support
Q0True,6945,10062,0.36722321606042535,0.7642192347466391,0.49607303483922943,4835.0,0.33643771827706637,0.08322534197264218,0.13344107122244026,6945.0,0.34907336189188304,0.3627334465195246,0.2822802515354433,11780.0,0.3518304671687459,0.42372228835964065,0.31475705303083484,11780.0
Q1True,6945,11586,0.4112722250992577,0.9855222337125129,0.5803544242128981,4835.0,0.6391752577319587,0.01785457163426926,0.0347387589298221,6945.0,0.5456344119951921,0.41502546689303904,0.25868203071621193,11780.0,0.5252237414156082,0.5016884026733911,0.3075465915713601,11780.0
Q2True,6945,11021,0.3789129843026949,0.8637021716649431,0.5267406659939455,4835.0,0.13175230566534915,0.014398848092152628,0.02596053997923157,6945.0,0.23319728709247706,0.3629881154499151,0.23150144908628947,11780.0,0.25533264498402203,0.4390505098785479,0.27635060298658853,11780.0
Q3True,6945,11764,0.40997959877592655,0.9975180972078593,0.5811193445388275,4835.0,0.25,0.0005759539236861051,0.0011492601637695732,6945.0,0.3156622546758578,0.4097623089983022,0.2391930087166902,11780.0,0.32998979938796325,0.49904702556577274,0.29113430235129856,11780.0
Q4True,6945,11767,0.4103849749298887,0.9987590486039297,0.581737140103602,4835.0,0.5384615384615384,0.001007919366450684,0.002012072434607646,6945.0,0.485893611069728,0.4105263157894737,0.23995525598126197,11780.0,0.47442325669571356,0.4998834839851902,0.29187460626910483,11780.0
Q5True,6945,10201,0.34918145279874524,0.7367114788004137,0.47379622239957436,4835.0,0.19379354021532616,0.044060475161987044,0.07179727827311122,6945.0,0.2575711766619162,0.3283531409168082,0.236794298209567,11780.0,0.2714874965070357,0.39038597698120037,0.27279675033634276,11780.0
Q6True,6945,11332,0.39172255559477587,0.9180972078593589,0.5491433166326468,4835.0,0.11607142857142858,0.007487401007919367,0.014067361017178414,6945.0,0.22921007026564624,0.38123938879456704,0.23368469933643055,11780.0,0.25389699208310224,0.4627923044336391,0.2816053388249126,11780.0
Q7True,6945,10441,0.35513839670529646,0.7669079627714581,0.4854673998428908,4835.0,0.15832710978342046,0.03052555795536357,0.05118300338000965,6945.0,0.2391066150692668,0.33276740237691,0.2294313104171939,11780.0,0.25673275324435846,0.39871676036341086,0.26832520161145024,11780.0
Q8True,6945,11775,0.41036093418259023,0.9993795243019649,0.5818181818181819,4835.0,0.4,0.00028797696184305253,0.0005755395683453236,6945.0,0.40425255660210724,0.41035653650254666,0.23914159859024345,11780.0,0.4051804670912951,0.49983375063190394,0.2911968606932636,11780.0
Q9True,6945,11391,0.39487314546571856,0.9302998965873837,0.5544188339701712,4835.0,0.13367609254498714,0.007487401007919367,0.014180529042814291,6945.0,0.24088218345090703,0.3862478777589134,0.23591670937590178,11780.0,0.2642746190053529,0.4688936487976515,0.28429968150649276,11780.0
Q10True,6945,11272,0.4090667139815472,0.9536711478800414,0.5725460979698268,4835.0,0.5590551181102362,0.040892728581713465,0.07621092177646585,6945.0,0.49749366361429304,0.41553480475382004,0.27992743933970016,11780.0,0.48406091604589174,0.4972819382308774,0.3243785098731463,11780.0
Q11True,6945,10935,0.4036579789666209,0.9129265770423992,0.5597970830691186,4835.0,0.5017751479289941,0.06105111591072714,0.10885750962772787,6945.0,0.46150379717066864,0.4106960950764007,0.2939417912566858,11780.0,0.45271656344780753,0.48698884647656315,0.33432729634842323,11780.0
