,Appeal_to_Authority,Appeal_to_Popularity,Appeal_to_Values,Appeal_to_Fear-Prejudice,Flag_Waving,Causal_Oversimplification,False_Dilemma-No_Choice,Consequential_Oversimplification,Straw_Man,Red_Herring,Whataboutism,Slogans,Appeal_to_Time,Conversation_Killer,Loaded_Language,Repetition,Exaggeration-Minimisation,Obfuscation-Vagueness-Confusion,Name_Calling-Labeling,Doubt,Guilt_by_Association,Appeal_to_Hypocrisy,Questioning_the_Reputation,None,mean_importance
Q0,0.004073205400692639,0.0026072604813152218,0.0,0.003950086873305822,0.0023985279904456254,0.004520722974677115,0.0032066201518225874,0.0,0.002249122562862708,0.0030815618249551697,0.002991237009080782,0.0017478861906981488,0.0,0.0028629202516204143,0.0028807859189983655,0.0032837531201281456,0.0032216757372678434,0.0027312034222358806,0.0036629378470333057,0.00383495297132556,0.004352395033955459,0.003149539739896015,0.0,0.002554231933355541,0.002640026143153014
Q1,0.003688712540435616,0.003033747821637257,0.0,0.003627237531573544,0.0026360445804366117,0.00393317636150854,0.003940904223126185,0.0,0.002522454360031834,0.003269274284154115,0.004235966444079633,0.002654604230592346,0.0,0.0028269347812738222,0.007985269435508114,0.0028104879722481223,0.0036427036052311805,0.002730577176924997,0.0052175035512771325,0.003885642031934939,0.002223243871991477,0.001968315343831726,0.0,0.00384790414151294,0.002945029345387922
Q2,0.0019196544426421272,0.005459119058560162,0.0,0.0036433862467222388,0.0028566898978656897,0.003442678937907106,0.0037652130695303254,0.0,0.004223012711057893,0.0035041507934119847,0.0065605016221132,0.003771018292123775,0.0,0.003158978920725798,0.00826013058400398,0.0033944441793434177,0.0029424079015006057,0.002248564605894771,0.008467066638070828,0.0027617579876355477,0.002098948714486336,0.004955295906333576,0.0,0.004324782988120358,0.003406575145752072
Q3,0.0041941065459719165,0.0023501093897680047,0.0,0.0036375735256925427,0.003569001168835097,0.0031612822071502246,0.004602299866756782,0.0,0.004896644342126128,0.003997123241712909,0.0021197684081072643,0.002901767035662494,0.0,0.004199619795027398,0.003198628362454389,0.003948488016371508,0.004483080490840364,0.002111546469925574,0.0032533958117385163,0.0037550555566766806,0.007677000498703097,0.002619683332832123,0.0,0.003075601395210663,0.0030729906442318196
Q4,0.003536301453040617,0.00513376698779063,0.0,0.003295584647266699,0.0035797068751436405,0.0025338975468704714,0.004529218543908199,0.0,0.003256099800934456,0.0047125369569649715,0.0064492552501734845,0.002901916093102845,0.0,0.0038431428355978326,0.002876688344710067,0.0031407586363587175,0.003472438235706352,0.0039090469636035895,0.0026612356717314,0.0030736404409568967,0.003539047084076388,0.0031285096882094415,0.0,0.0033282580449177958,0.00303754375421102
Q5,0.004849818016083049,0.0033690622344274956,0.0,0.004723443769855192,0.0046364628529934485,0.005607204856050548,0.007010340597707047,0.0,0.003340485151292271,0.004761353563895368,0.011409203701856956,0.004939633790355064,0.0,0.005203324214867307,0.00821652174044613,0.0042443402922057475,0.00479157766533931,0.006016450208291084,0.004678504146227044,0.006191933006205102,0.004485223545299028,0.0045472169232048405,0.0,0.0074988615212146035,0.004605040074909026
Q6,0.0022138235957046433,0.004308281742052156,0.0,0.003962032298876986,0.003921550713984984,0.0031421928634040737,0.003245698090669396,0.0,0.0028648436941747816,0.005069665225764693,0.0022019886512788973,0.004239441760023417,0.0,0.0038510269915213433,0.004932693495482903,0.0033424921071166904,0.004460484125623578,0.0022759003003193223,0.011064438209740513,0.003169252880900123,0.005166482741862119,0.0030503433821935065,0.0,0.003015985675200823,0.00331244243941229
Q7,0.0028924917325139354,0.004133162769389403,0.0,0.004029711446863775,0.00415844036196767,0.004015016678888748,0.0032771038464521935,0.0,0.001464984324037976,0.007395110414823613,0.005584688447182173,0.002789833946467634,0.0,0.0027807808393857762,0.00859988795455054,0.003653948831354338,0.004189644468674679,0.002898665917913151,0.005115383919544225,0.0031673518522447237,0.0031516615511754525,0.0026520417316597622,0.0,0.008715949481441856,0.0035277441881888176
Q8,0.0027497019691596954,0.003081741700891576,0.0,0.003131393971812894,0.003539853525600084,0.002106530893108036,0.004026212349257736,0.0,0.0017061654130593375,0.0029574213875865284,0.005445658588763974,0.0026239683091564066,0.0,0.003227069637497895,0.002487397809695155,0.003149544229733209,0.0036934748228519467,0.002524484966939017,0.0026196329735505147,0.0030523616385486935,0.0035945592074921417,0.0018798179772016508,0.0,0.003023672171271439,0.002525860980965747
Q9,0.0032129852058443214,0.006929791728518852,0.0,0.0035268194863489017,0.0035379360844067466,0.003839593852638526,0.004082461069032883,0.0,0.0009840926707555893,0.003910138806697516,0.0023469133954661507,0.004368640687496339,0.0,0.003726348854344728,0.002901820171715869,0.0040010107929410055,0.0033604618601265233,0.0018803509475414713,0.008364529221206958,0.002830036931306167,0.00401522431896433,0.003523728806593088,0.0,0.002463682593637389,0.0030752736452326393
Q10,0.004778748376865435,0.007724789164677905,0.0,0.004878477361509087,0.005037787240651956,0.0035327988420331986,0.00526311550356496,0.0,0.0034037842376179817,0.005174537437082881,0.0068177683834366705,0.005307392232205916,0.0,0.006224242070536413,0.0044389557550206064,0.0053902266527376674,0.005093765320953439,0.004001188533960063,0.004787576348396703,0.005296711012347136,0.004306247139242152,0.004128755679836548,0.0,0.004320987472090175,0.004162827281865287
Q11,0.0034093420806345833,0.003959418451308147,0.0,0.003569324127591036,0.003040745439519666,0.004394421969271201,0.0047510145872966154,0.0,0.0067775702227283905,0.0028036663522066434,0.009862610003618594,0.0025865057895786948,0.0,0.0042611456050685136,0.00385939658777679,0.004304403849606488,0.004188926735804327,0.004129724964164865,0.003784486784658976,0.003904146671562042,0.003571215771771526,0.0029145570562871667,0.0,0.002780282278076248,0.003452204388688772
